"year"|"conflictid_new"|"actor"|"conflict_type"|"conflict_country"|"ai_prev"|"hrw_prev"|"state_prev"|"actor_type"|"theta_static"|"theta_sd_static"|"theta_upper_static"|"theta_low_static"|"theta_dynamic"|"theta_sd_dynamic"|"theta_upper_dynamic"|"theta_low_dynamic"|"max_prev"|"lag_ai_prev"|"lag_hrw_prev"|"lag_state_prev"|"lag_max_prev"|"lag_theta_static"|"lag_theta_sd_static"|"lag_theta_dynamic"|"lag_theta_sd_dynamic"
1990|205|"Government"|"intra"|"Iran, Islamic Rep."|0|0|0|1|-0.429941964511792|0.788914229616572|0.927315970896333|-2.14226788030227|0.335157715816229|0.131617281335991|0.57801197837033|0.0639067128289941|0|0|0|0|0|-0.306789359139249|0.797634417664121|0.112112399238733|0.165906736387189
1993|205|"Government"|"intra"|"Iran, Islamic Rep."|0|0|0|1|-0.40598910725435|0.766617507618968|0.926385635004217|-2.0545249009526|0.485403883323093|0.125604996642043|0.72435368124993|0.222609012303495|0|0|0|0|0|-0.324527543631411|0.818780084587463|-0.0330830386801448|0.184618746118916
1996|205|"Government"|"intra"|"Iran, Islamic Rep."|0|0|0|1|-0.402023350784211|0.783413489866459|0.940145568202146|-2.06175827881467|0.548247952507599|0.135215284716121|0.804648473044023|0.26815068213923|0|0|0|0|0|-0.330151081097998|0.802645927774979|0.271098969567045|0.169343833840895
1990|205|"Rebels"|"intra"|"Iran, Islamic Rep."|0|0|0|3|-0.425636889220302|0.760106066158702|0.899617671178521|-2.06660543772224|0.684640185175814|0.138339155621156|0.939265796569545|0.398574902982803|0|0|0|0|0|-0.325279392797858|0.83199635877881|0.507314695609551|0.182731499132781
1993|205|"Rebels"|"intra"|"Iran, Islamic Rep."|0|0|0|3|-0.403107176181035|0.774510640856216|0.932083768266828|-2.04755491846668|0.538929281357924|0.152633082198453|0.828781884102325|0.222409211046114|0|0|0|0|0|-0.320824467749687|0.814693498676052|0.528735128611705|0.191614796977357
1996|205|"Rebels"|"intra"|"Iran, Islamic Rep."|0|0|0|3|-0.410194817357931|0.77335191926604|0.930292413551982|-2.07832820554864|0.442122949403069|0.171243968144841|0.755108111404825|0.0881034086721275|0|0|0|0|0|-0.309367439407746|0.796178083928876|0.324555954844026|0.222786692138057
1989|209|"Government"|"intra"|"Philippines"|1|0|0|1|0.660312863538041|0.514868211403422|1.53311781851405|-0.437579464562233|0.743205795414905|0.171787632174696|1.07943961693951|0.394012164206206|1|NA|NA|NA|NA|NA|NA|NA|NA
1990|209|"Government"|"intra"|"Philippines"|1|0|0|1|0.654452138505799|0.517835031758131|1.56645135640199|-0.483232263940158|0.680531754412494|0.180326387909197|1.0339870195367|0.310492593980408|1|1|0|0|1|0.660312863538041|0.514868211403422|0.743205795414905|0.171787632174696
1991|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.430143223394225|0.802618512144538|0.932630688349428|-2.13353560699717|0.697922209645336|0.188243371865074|1.06171003722571|0.308715656611173|0|1|0|0|1|0.654452138505799|0.517835031758131|0.680531754412494|0.180326387909197
1992|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.407577629036088|0.787069065483737|0.953360303134042|-2.15877338891044|0.808970592240665|0.193488828463021|1.17612922291232|0.416918449608738|0|0|0|0|0|-0.430143223394225|0.802618512144538|0.697922209645336|0.188243371865074
1993|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.420926392817965|0.759927771087917|0.906152301992392|-2.08122750393628|0.681045571167191|0.205653361142174|1.08331190603267|0.258383974051545|0|0|0|0|0|-0.407577629036088|0.787069065483737|0.808970592240665|0.193488828463021
1994|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.38441887463302|0.799184483811281|1.00972053371913|-2.06816602723192|0.573351246310103|0.229877999990176|1.00968249252582|0.108457281790295|0|0|0|0|0|-0.420926392817965|0.759927771087917|0.681045571167191|0.205653361142174
1995|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.37973033767534|0.785529328021394|0.98563885054623|-2.06582015621416|0.563008958323777|0.267156963429437|1.06721716296611|0.0104750379201539|0|0|0|0|0|-0.38441887463302|0.799184483811281|0.573351246310103|0.229877999990176
1997|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.375489033943547|0.815871667528643|1.05753126075364|-2.12171423508491|0.54185808311494|0.26668253654981|1.02965794697321|-0.00238762169673467|0|0|NA|0|0|-0.285992396668696|0.820713562035398|0.00651992326472994|0.81106932872857
1999|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.377009303998112|0.832400561789052|1.09662524812498|-2.10379952628379|0.527077336895017|0.26923510907423|1.02608129916058|-0.0134106379708237|0|0|NA|1|1|0.873146774380914|0.529969028117089|1.16474752911729|0.51275470925044
2000|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.380901197503104|0.807030410494635|1.03368086276011|-2.13908977666193|0.427144759120322|0.280025440019185|0.960028760720952|-0.142403630320746|0|0|0|0|0|-0.377009303998112|0.832400561789052|0.527077336895017|0.26923510907423
2001|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.380696919995889|0.812436132984753|1.02724230035009|-2.06438435129852|0.514168876430252|0.309408080509926|1.08669594652717|-0.125300902097435|0|0|0|0|0|-0.380901197503104|0.807030410494635|0.427144759120322|0.280025440019185
2002|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.362644399279457|0.81987780484475|1.05961546501544|-2.14441271827811|0.601150174140075|0.310507602796538|1.18157324584613|-0.0398067992797079|0|0|0|0|0|-0.380696919995889|0.812436132984753|0.514168876430252|0.309408080509926
2003|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.376455999785176|0.785817569090204|1.01669308346554|-2.05964294904371|0.383002034738959|0.333418156368684|1.00277896017411|-0.326324349813259|0|0|0|0|0|-0.362644399279457|0.81987780484475|0.601150174140075|0.310507602796538
2004|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.356768923594255|0.790277582249723|1.02865331233111|-2.06016093108264|0.206213661817516|0.378053959624344|0.890147417336971|-0.57412340632772|0|0|0|0|0|-0.376455999785176|0.785817569090204|0.383002034738959|0.333418156368684
2005|209|"Government"|"intra"|"Philippines"|1|0|0|1|0.783345901668745|0.572224010724824|1.82295618497916|-0.444847155448848|0.831864948135217|0.309399880344822|1.41352565618375|0.206251519578398|1|0|0|0|0|-0.356768923594255|0.790277582249723|0.206213661817516|0.378053959624344
2006|209|"Government"|"intra"|"Philippines"|0|0|0|1|-0.438800518914358|0.77995529174602|0.902136934006982|-2.1321692066096|0.0862561305444116|0.399573669202204|0.812807418743307|-0.757468766104017|0|1|0|0|1|0.783345901668745|0.572224010724824|0.831864948135217|0.309399880344822
