"conflictid_new"|"year"|"conflict_country"
223|1992|"Myanmar"
227|1990|"India"
251|2005|"India"
283|2015|"Congo, Dem. Rep."
322|1992|"Bangladesh"
325|2005|"Pakistan"
329|1995|"Ethiopia"
330|1989|"Indonesia"
335|1993|"India"
335|1995|"India"
335|1998|"India"
338|1992|"Iran, Islamic Rep."
342|1992|"Spain"
347|1992|"India"
347|1997|"India"
364|1989|"India"
365|1991|"India"
369|1989|"Papua New Guinea"
406|1997|"Niger"
408|1994|"Congo, Rep."
421|1993|"India"
421|1995|"India"
421|2000|"India"
433|2008|"India"
