"conflictid_new"|"conflict_type"|"year"|"conflict_country"|"ai_prev"|"hrw_prev"|"state_prev"|"actor_type"|"actor"
205|"intra"|1989|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1990|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1991|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1992|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1993|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1994|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1995|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1996|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1997|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1998|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1999|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|2000|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|2001|"Iran, Islamic Rep."|0|0|0|1|"Government"
205|"intra"|1989|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1990|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1991|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1992|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1993|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1994|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1995|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1996|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1997|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1998|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|1999|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|2000|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
205|"intra"|2001|"Iran, Islamic Rep."|0|0|0|3|"Rebels"
209|"intra"|1989|"Philippines"|1|0|0|1|"Government"
209|"intra"|1990|"Philippines"|1|0|0|1|"Government"
209|"intra"|1991|"Philippines"|0|0|0|1|"Government"
209|"intra"|1992|"Philippines"|0|0|0|1|"Government"
209|"intra"|1993|"Philippines"|0|0|0|1|"Government"
209|"intra"|1994|"Philippines"|0|NA|0|1|"Government"
209|"intra"|1995|"Philippines"|0|NA|0|1|"Government"
209|"intra"|1996|"Philippines"|0|NA|0|1|"Government"
209|"intra"|1997|"Philippines"|0|NA|0|1|"Government"
209|"intra"|1998|"Philippines"|0|NA|1|1|"Government"
209|"intra"|1999|"Philippines"|0|NA|0|1|"Government"
209|"intra"|2000|"Philippines"|0|NA|0|1|"Government"
209|"intra"|2001|"Philippines"|0|NA|0|1|"Government"
209|"intra"|2002|"Philippines"|0|NA|0|1|"Government"
209|"intra"|2003|"Philippines"|0|NA|0|1|"Government"
209|"intra"|2004|"Philippines"|0|NA|0|1|"Government"
209|"intra"|2005|"Philippines"|1|NA|0|1|"Government"
209|"intra"|2006|"Philippines"|0|0|0|1|"Government"
209|"intra"|2007|"Philippines"|0|0|0|1|"Government"
209|"intra"|2008|"Philippines"|0|0|0|1|"Government"
209|"intra"|2009|"Philippines"|0|0|0|1|"Government"
209|"intra"|2010|"Philippines"|0|0|0|1|"Government"
209|"intra"|2011|"Philippines"|0|0|0|1|"Government"
209|"intra"|2012|"Philippines"|0|0|0|1|"Government"
209|"intra"|2013|"Philippines"|NA|0|0|1|"Government"
209|"intra"|2014|"Philippines"|0|0|0|1|"Government"
209|"intra"|2015|"Philippines"|0|0|0|1|"Government"
209|"intra"|1989|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|1990|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|1991|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|1992|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|1993|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|1994|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|1995|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|1996|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|1997|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|1998|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|1999|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|2000|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|2001|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|2002|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|2003|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|2004|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|2005|"Philippines"|0|NA|0|3|"Rebels"
209|"intra"|2006|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2007|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2008|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2009|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2010|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2011|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2012|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2013|"Philippines"|NA|0|0|3|"Rebels"
209|"intra"|2014|"Philippines"|0|0|0|3|"Rebels"
209|"intra"|2015|"Philippines"|0|0|0|3|"Rebels"
218|"inter"|1989|"India"|0|NA|0|1|"India"
218|"inter"|1990|"India"|0|NA|0|1|"India"
218|"inter"|1991|"India"|0|0|0|1|"India"
218|"inter"|1992|"India"|0|0|0|1|"India"
218|"inter"|1993|"India"|0|0|0|1|"India"
218|"inter"|1994|"India"|0|0|0|1|"India"
218|"inter"|1995|"India"|0|0|0|1|"India"
218|"inter"|1996|"India"|0|0|0|1|"India"
218|"inter"|1997|"India"|0|0|0|1|"India"
218|"inter"|1998|"India"|0|0|0|1|"India"
218|"inter"|1999|"India"|0|0|0|1|"India"
218|"inter"|2000|"India"|0|0|0|1|"India"
218|"inter"|2001|"India"|0|0|0|1|"India"
218|"inter"|2002|"India"|0|0|0|1|"India"
218|"inter"|2003|"India"|0|NA|0|1|"India"
218|"inter"|2004|"India"|0|0|0|1|"India"
218|"inter"|2005|"India"|0|0|0|1|"India"
218|"inter"|2006|"India"|0|0|0|1|"India"
218|"inter"|2007|"India"|0|0|0|1|"India"
218|"inter"|2008|"India"|0|0|0|1|"India"
218|"inter"|2014|"India"|0|0|0|1|"India"
218|"inter"|2015|"India"|0|0|0|1|"India"
218|"inter"|1989|"India"|0|NA|0|1|"Pakistan"
218|"inter"|1990|"India"|0|NA|0|1|"Pakistan"
218|"inter"|1991|"India"|0|0|0|1|"Pakistan"
218|"inter"|1992|"India"|0|0|0|1|"Pakistan"
218|"inter"|1993|"India"|0|0|0|1|"Pakistan"
218|"inter"|1994|"India"|0|0|0|1|"Pakistan"
218|"inter"|1995|"India"|0|0|0|1|"Pakistan"
218|"inter"|1996|"India"|0|0|0|1|"Pakistan"
218|"inter"|1997|"India"|0|0|0|1|"Pakistan"
218|"inter"|1998|"India"|0|0|0|1|"Pakistan"
218|"inter"|1999|"India"|0|0|0|1|"Pakistan"
218|"inter"|2000|"India"|0|0|0|1|"Pakistan"
218|"inter"|2001|"India"|0|0|0|1|"Pakistan"
218|"inter"|2002|"India"|0|0|0|1|"Pakistan"
