"year"|"conflictid_old"|"conflictid_new"|"actor"|"actorid"|"actorid_new"|"actor_type"|"incomp"|"region"|"gwnoloc"|"gwnoloc2"|"gwnoloc3"|"gwnoloc4"|"conflictyear"|"interm"|"postc"|"state_prev"|"ai_prev"|"hrw_prev"|"form"|"country"|"conflict_type"
1989|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1990|6|205|"Iran"|630|114|1|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"
1991|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1992|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1993|6|205|"Iran"|630|114|1|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"
1994|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1995|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1996|6|205|"Iran"|630|114|1|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"
1997|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
1998|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
1999|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
2000|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
2001|6|205|"Iran"|630|114|1|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
1989|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1990|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"
1991|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1992|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1993|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"
1994|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1995|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"
1996|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"
1997|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
1998|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
1999|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
2000|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
2001|6|205|"KDPI"|1005|164|3|1|2|630|0|0|0|0|0|1|0|0|0|"-99"|"Iran"|"intra"
1989|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|1|0|"1, 6, 7"|"Philippines"|"intra"
1990|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|1|0|"1, 7"|"Philippines"|"intra"
1991|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1992|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1993|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1994|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
1995|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
1996|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|0|1|0|0|0|NA|"-99"|"Philippines"|"intra"
1997|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
1998|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|0|1|0|1|0|NA|"1"|"Philippines"|"intra"
1999|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2000|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2001|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2002|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2003|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2004|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2005|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|1|NA|"7"|"Philippines"|"intra"
2006|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2007|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2008|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
