"conflictid_new"|"year"|"conflictid_old"|"actor"|"actorid"|"actorid_new"|"actor_type"|"incomp"|"region"|"gwnoloc"|"gwnoloc2"|"gwnoloc3"|"gwnoloc4"|"conflictyear"|"interm"|"postc"|"state_prev"|"ai_prev"|"hrw_prev"|"form"|"country"|"conflict_type"|"conflict_name"|"actor_country"|"conflict_country"
205|1989|6|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1989|6|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1990|6|"Iran"|630|114|1|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1990|6|"KDPI"|1005|164|3|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1991|6|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1991|6|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1992|6|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1992|6|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1993|6|"Iran"|630|114|1|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1993|6|"KDPI"|1005|164|3|1|2|630|0|0|0|1|0|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1994|6|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1994|6|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1995|6|"Iran"|630|114|1|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
205|1995|6|"KDPI"|1005|164|3|1|2|630|0|0|0|0|1|0|0|0|0|"-99"|"Iran"|"intra"|"Iran"|"Iran, Islamic Rep."|"Iran, Islamic Rep."
