"conflictid_new"|"conflict_type"|"year"|"conflict_country"|"ai_prev"|"hrw_prev"|"state_prev"|"actor_type"|"actor"|"theta"|"theta_sd"|"theta_upper"|"theta_low"
205|"intra"|1989|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.111709764823727|0.173548494535356|0.435300796366175|-0.249134440546477
205|"intra"|1990|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.0587830665251551|0.178107809791797|0.389799714904785|-0.307391766811698
205|"intra"|1991|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.0660569442733915|0.182541360961831|0.406612301003582|-0.313536490885988
205|"intra"|1992|"Iran, Islamic Rep."|0|0|0|1|"Government"|-0.0404145751824446|0.195171670288089|0.317583840352472|-0.449590552627619
205|"intra"|1993|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.0643596512668136|0.182365731482429|0.404019773167323|-0.307786595709189
205|"intra"|1994|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.171316030417749|0.177139940151107|0.495828498971137|-0.201993103090562
205|"intra"|1995|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.267166495286326|0.174974859757299|0.598415621858175|-0.0955526170331813
205|"intra"|1996|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.110545717755276|0.195545799920885|0.458120191007157|-0.291766606545526
205|"intra"|1997|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.426309947852327|0.171318410230275|0.751807916704215|0.0793458448015737
205|"intra"|1998|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.491897870710507|0.169515326072086|0.807801226061827|0.137484623533598
205|"intra"|1999|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.479850097976385|0.169932504604264|0.794334491621242|0.136833135438957
205|"intra"|2000|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.681308986832378|0.163533259697632|0.985099891815807|0.33844978309292
205|"intra"|2001|"Iran, Islamic Rep."|0|0|0|1|"Government"|0.559338351030262|0.178123373303887|0.883447381964858|0.190459609685872
205|"intra"|1989|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.499828077788014|0.187665938548694|0.847571522654002|0.112848792885473
205|"intra"|1990|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.530878373585386|0.192734738398194|0.881176789508811|0.125857367784069
205|"intra"|1991|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.509443501441814|0.196164302251837|0.874453535128006|0.107971577890872
205|"intra"|1992|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.522556218031672|0.194697308823332|0.892585037038659|0.125198533591739
205|"intra"|1993|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.363658962326448|0.21311871230095|0.742982332088335|-0.0801736048093035
205|"intra"|1994|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.274115268398927|0.230642578534967|0.697673273784146|-0.207247233701313
205|"intra"|1995|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.32800826080591|0.229540555951124|0.754333837738229|-0.154333844855669
205|"intra"|1996|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.588479669976487|0.211218407694761|0.979079815437343|0.146165741858476
205|"intra"|1997|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.417446376172552|0.228645827657386|0.831443083982934|-0.0668249861587995
205|"intra"|1998|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.31549014484273|0.239198550794903|0.749487225413177|-0.180031669952325
205|"intra"|1999|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.41988953213006|0.236088897086303|0.850325750810037|-0.0763413701920653
205|"intra"|2000|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.386645293192744|0.250398541110068|0.839094503300342|-0.132865614146192
205|"intra"|2001|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|0.325948923919533|0.269093658028268|0.827929881829803|-0.226664427052641
209|"intra"|1989|"Philippines"|1|0|0|1|"Government"|1.00015025758544|0.522947736014411|1.87876716428809|-0.134423792491447
209|"intra"|1990|"Philippines"|1|0|0|1|"Government"|1.01362882802791|0.520635918199005|1.91699654534363|-0.126423379003204
209|"intra"|1991|"Philippines"|0|0|0|1|"Government"|-0.198781400191278|0.846155498663645|1.23838314598421|-2.07803945654837
209|"intra"|1992|"Philippines"|0|0|0|1|"Government"|-0.202254299278423|0.841100587047148|1.25782786714895|-2.04075349202844
209|"intra"|1993|"Philippines"|0|0|0|1|"Government"|-0.268845984659441|0.831749730178972|1.13674827752195|-2.0197579619303
209|"intra"|1994|"Philippines"|0|NA|0|1|"Government"|-0.165401369380152|0.863704038848346|1.33175911202939|-2.04963475782961
209|"intra"|1995|"Philippines"|0|NA|0|1|"Government"|-0.0887695954432927|0.856425160249174|1.3756511573722|-1.95901368339762
209|"intra"|1996|"Philippines"|0|NA|0|1|"Government"|-0.0106016176427011|0.795839220729251|1.3398046141956|-1.80157969296506
209|"intra"|1997|"Philippines"|0|NA|0|1|"Government"|-0.125505757946922|0.844790832268426|1.34003289560677|-1.96068577578472
209|"intra"|1998|"Philippines"|0|NA|1|1|"Government"|1.16044011215114|0.498921174037224|2.05372908861863|0.068987454777272
209|"intra"|1999|"Philippines"|0|NA|0|1|"Government"|0.13025703214276|0.786303650174465|1.44524878570602|-1.56454475191712
209|"intra"|2000|"Philippines"|0|NA|0|1|"Government"|0.116840970141235|0.799482414019556|1.45894638200939|-1.62160032573196
209|"intra"|2001|"Philippines"|0|NA|0|1|"Government"|0.225774720472355|0.780839490726009|1.51775084152494|-1.54980460660474
209|"intra"|2002|"Philippines"|0|NA|0|1|"Government"|0.159495778777895|0.772545623423136|1.46382138393836|-1.50794613252943
209|"intra"|2003|"Philippines"|0|NA|0|1|"Government"|0.137985694834952|0.792264713598459|1.47140984884462|-1.57751575152074
209|"intra"|2004|"Philippines"|0|NA|0|1|"Government"|0.162951854891479|0.776366109263979|1.46065716602215|-1.56971431151277
209|"intra"|2005|"Philippines"|1|NA|0|1|"Government"|1.23101399225614|0.498926626193514|2.13767419226688|0.161188466706243
209|"intra"|2006|"Philippines"|0|0|0|1|"Government"|0.107150563268166|0.781145740237483|1.39027353147759|-1.57980452028825
209|"intra"|2007|"Philippines"|0|0|0|1|"Government"|0.00535841287454454|0.792280069534495|1.34928237419314|-1.71368504461306
209|"intra"|2008|"Philippines"|0|0|0|1|"Government"|-0.0590064779855321|0.813036061013515|1.30980594368458|-1.87360084690187
209|"intra"|2009|"Philippines"|0|0|0|1|"Government"|-0.0180191183741008|0.788132471077286|1.27645003905571|-1.74986515865949
209|"intra"|2010|"Philippines"|0|0|0|1|"Government"|0.146215707951197|0.747921618195141|1.35656464185268|-1.5016229898324
209|"intra"|2011|"Philippines"|0|0|0|1|"Government"|0.0405266399888122|0.772051028620631|1.31634914197349|-1.64459015355254
209|"intra"|2012|"Philippines"|0|0|0|1|"Government"|-0.00734155268000066|0.800464258845337|1.29790423002992|-1.6945872969705
209|"intra"|2013|"Philippines"|NA|0|0|1|"Government"|0.0965405549379904|0.81167857729584|1.53360794301752|-1.69350140862638
209|"intra"|2014|"Philippines"|0|0|0|1|"Government"|0.0250614391989955|0.796030471865471|1.32265290166628|-1.68534140146506
209|"intra"|2015|"Philippines"|0|0|0|1|"Government"|-0.0283833686877092|0.82326790959333|1.36496966891189|-1.83059764009903
209|"intra"|1989|"Philippines"|0|0|0|3|"Rebels"|-0.254539424823405|0.831387300692858|1.16748842762151|-2.02648824874643
209|"intra"|1990|"Philippines"|0|0|0|3|"Rebels"|-0.161273928195988|0.804303996578019|1.21205531010001|-1.85541501656069
209|"intra"|1991|"Philippines"|0|0|0|3|"Rebels"|-0.194318253529616|0.822297338053444|1.23828640033642|-1.94383005788948
209|"intra"|1992|"Philippines"|0|0|0|3|"Rebels"|-0.189241508386017|0.856842342187166|1.23712441873244|-2.09776665528279
209|"intra"|1993|"Philippines"|0|0|0|3|"Rebels"|-0.262944584602071|0.84876054387756|1.19098911785435|-2.09838656360495
209|"intra"|1994|"Philippines"|0|NA|0|3|"Rebels"|-0.155759286129364|0.842596349484197|1.28845942938528|-2.00191268564785
209|"intra"|1995|"Philippines"|0|NA|0|3|"Rebels"|-0.0880669949752691|0.86377245271023|1.38337105119716|-1.92789001627737
209|"intra"|1996|"Philippines"|0|NA|0|3|"Rebels"|-0.0272949971476029|0.826969636541486|1.41741507311467|-1.80787881081533
209|"intra"|1997|"Philippines"|0|NA|0|3|"Rebels"|-0.131476206484681|0.840265890880003|1.33587308652886|-1.92230680733794
209|"intra"|1998|"Philippines"|0|NA|0|3|"Rebels"|0.0850742954148923|0.790054569011462|1.45665183186269|-1.62457033754409
209|"intra"|1999|"Philippines"|0|NA|0|3|"Rebels"|0.139401036072879|0.749525441363708|1.45100808577146|-1.49960722436198
209|"intra"|2000|"Philippines"|0|NA|0|3|"Rebels"|0.108454354793489|0.815958623622348|1.4883246281917|-1.68641343249829
209|"intra"|2001|"Philippines"|0|NA|0|3|"Rebels"|0.240685954031526|0.764440712717998|1.53791507106014|-1.46640430085069
209|"intra"|2002|"Philippines"|0|NA|0|3|"Rebels"|0.158556485992219|0.77724590907361|1.48723903125304|-1.51245051169532
209|"intra"|2003|"Philippines"|0|NA|0|3|"Rebels"|0.12615467383715|0.790976210478465|1.45436233503368|-1.62009830421031
209|"intra"|2004|"Philippines"|0|NA|0|3|"Rebels"|0.158635775047064|0.789041675700279|1.51335494781225|-1.60886212838781
209|"intra"|2005|"Philippines"|0|NA|0|3|"Rebels"|0.130512810872662|0.797552139142658|1.4481141991186|-1.60653047203609
209|"intra"|2006|"Philippines"|0|0|0|3|"Rebels"|0.106198007923496|0.769750572688978|1.36430763822074|-1.54617229253571
209|"intra"|2007|"Philippines"|0|0|0|3|"Rebels"|0.00411635464047947|0.806769882858738|1.3148693401252|-1.79233676588772
209|"intra"|2008|"Philippines"|0|0|0|3|"Rebels"|-0.056575730328296|0.803864016247754|1.32936925533269|-1.75132138199299
209|"intra"|2009|"Philippines"|0|0|0|3|"Rebels"|-0.0182478731952488|0.790976239312494|1.30175488853719|-1.72314576316913
209|"intra"|2010|"Philippines"|0|0|0|3|"Rebels"|0.139828447741385|0.773238248103858|1.41456214570753|-1.5802960040168
209|"intra"|2011|"Philippines"|0|0|0|3|"Rebels"|0.0443701009269366|0.781224956863228|1.33625149541149|-1.73927754323632
209|"intra"|2012|"Philippines"|0|0|0|3|"Rebels"|-0.0263383102497138|0.809119279829298|1.327363564703|-1.82799758384273
209|"intra"|2013|"Philippines"|NA|0|0|3|"Rebels"|0.0831970564801619|0.799481197425191|1.43218199235422|-1.66424352821538
209|"intra"|2014|"Philippines"|0|0|0|3|"Rebels"|0.0258084456450805|0.796922227327079|1.30946231689572|-1.72298342979001
209|"intra"|2015|"Philippines"|0|0|0|3|"Rebels"|-0.0133362826524832|0.795953057639008|1.3039070665085|-1.74087776210339
