year|conflictid_old|conflictid_new|actor|actorid|actorid_new|actor_type|type|incomp|region|location|gwnoloc|gwnoloc2|gwnoloc3|gwnoloc4|conflictyear|interm|postc|state_prev|ai_prev|hrw_prev|form
1989|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1990|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|1|0|0|0|0|0|-99
1991|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1992|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1993|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|1|0|0|0|0|0|-99
1994|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1995|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1996|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|1|0|0|0|0|0|-99
1997|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
1998|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
1999|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
2000|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
2001|6|205|Iran|630|114|1|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
1989|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1990|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|1|0|0|0|0|0|-99
1991|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1992|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
